brand,product,price,rating,reviews
Nike,Club Fleece,49.99,4.6,800
Adidas,Essentials,39.99,4.5,700
Champion,Reverse Weave,69.99,4.7,1000
Under Armour,Rival Fleece,54.99,4.4,600
Puma,Essentials,44.99,4.3,500
H&M,Hooded Sweatshirt,29.99,4.2,400
Nike,Icon Hoodie,59.99,4.8,1200
Adidas,Trefoil Hoodie,49.99,4.6,800
Champion,Powerblend Fleece,64.99,4.7,1000
Under Armour,Storm Armour Fleece,74.99,4.5,700
Puma,Classics Logo Hoodie,39.99,4.4,600
H&M,Cotton Hoodie,34.99,4.3,500
Nike,Tech Fleece Hoodie,79.99,4.2,400
Adidas,Originals Hoodie,54.99,4.8,1200
Champion,Life Reverse Weave,79.99,4.6,800
Under Armour,ColdGear Hoodie,64.99,4.5,700
Puma,Essentials Big Logo Hoodie,49.99,4.7,1000
H&M,Sweatshirt with Motif,24.99,4.4,600
Nike,Dri-FIT Hoodie,69.99,4.3,500
Adidas,Adicolor Classics Hoodie,59.99,4.2,400
Champion,Athletic Hoodie,44.99,4.8,1200
Under Armour,Freedom Flag Hoodie,59.99,4.6,800
Puma,Classics T7 Hoodie,49.99,4.7,1000
H&M,Hoodie with Printed Design,34.99,4.5,700
Nike,NSW Club Hoodie,54.99,4.4,600
Adidas,Team Issue Hoodie,64.99,4.3,500
Champion,Powerblend Graphic Hoodie,44.99,4.2,400
Under Armour,Armour Fleece Hoodie,54.99,4.8,1200
Puma,AMPLIFIED Big Logo Hoodie,59.99,4.6,800
H&M,Hooded Top,19.99,4.7,1000
