brand,product,price,rating,reviews
Dell,XPS 13,1299.99,4.8,1200
Apple,MacBook Pro,1799.99,4.7,1500
HP,Spectre x360,1099.99,4.5,1000
Lenovo,ThinkPad X1 Carbon,1399.99,4.6,1100
Asus,Zephyrus G14,1499.99,4.4,900
Acer,Swift 3,699.99,4.3,800
Dell,Inspiron 15,799.99,4.2,700
HP,Envy 13,1299.99,4.8,1200
Acer,Aspire 5,549.99,4.6,1100
Apple,MacBook Air,999.99,4.5,1000
Lenovo,IdeaPad 5,699.99,4.4,900
Asus,ROG Strix G17,1599.99,4.3,800
Dell,G3 15,899.99,4.2,700
HP,Pavilion x360,799.99,4.7,1500
Acer,Predator Helios 300,1199.99,4.5,1000
Apple,MacBook,1299.99,4.8,1200
Lenovo,Yoga C940,1399.99,4.6,1100
Asus,VivoBook 15,699.99,4.4,900
Dell,Latitude 14,1099.99,4.3,800
HP,Elite Dragonfly,1499.99,4.2,700
Acer,Chromebook 14,349.99,4.7,1500
Lenovo,Legion Y540,1199.99,4.5,1000
Asus,TUF Gaming A15,1099.99,4.4,900
Dell,Inspiron 14,599.99,4.3,800
HP,Spectre x360 13,1299.99,4.2,700
Apple,iPad Pro,1099.99,4.8,1200
Lenovo,ThinkBook 14,899.99,4.6,1100
Asus,ZenBook 14,1099.99,4.5,1000
Acer,ConceptD 7,2499.99,4.4,900
Dell,Inspiron 17,999.99,4.3,800
