brand,product,price,rating,reviews
Samsung,Galaxy S21,799.99,4.5,1200
Apple,iPhone 13,999.99,4.8,1500
Google,Pixel 6,699.99,4.3,900
OnePlus,9 Pro,899.99,4.7,1100
Xiaomi,Mi 11,649.99,4.4,800
Sony,Xperia 5 III,749.99,4.6,1000
Huawei,P40 Pro,849.99,4.2,700
LG,G8 ThinQ,599.99,4.0,500
Motorola,Moto G Power,299.99,4.1,600
Nokia,8.3 5G,479.99,4.5,800
ASUS,ROG Phone 5,1299.99,4.9,1800
HTC,U12+,649.99,4.0,400
BlackBerry,Key2,549.99,4.2,300
Lenovo,Legion Phone Duel,899.99,4.7,1600
ZTE,Axon 30 Ultra,799.99,4.6,1400
Oppo,Find X3 Pro,899.99,4.4,1000
Vivo,X60 Pro,749.99,4.5,1100
Realme,GT,499.99,4.3,900
Infinix,Zero X,299.99,4.2,800
TCL,10 Pro,449.99,4.0,700
Meizu,18 Pro,679.99,4.6,1200
Sharp,Aquos R6,999.99,4.8,1500
CAT,S62 Pro,649.99,4.1,600
Fairphone,4,549.99,4.3,800
Alcatel,3L (2021),149.99,3.8,400
Nubia,Red Magic 6,799.99,4.7,1600
Poco,X3 Pro,249.99,4.5,1100
Razer,Phone 2,699.99,4.4,1000
Gigaset,GS4,399.99,4.0,500
Ulefone,Armor 11,599.99,4.2,700
