product,cost,reviews,rating
"IKALL K510 Smartphone (5"" Display, 2GB, 32GB, Dual Sim, 4G Volte) (Purple)  ","1,349","11,771",4.83
"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger  ","1,529","1,570",4.38
"realme narzo 60 Pro (Cosmic Black,12GB+1TB) Ultra Smooth 120 Hz Super Amoled Curved Display | 100 MP OIS Camera  ","4,999","9,463",2.4
"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display  ","15,990","29,140",3.94
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus  ","29,999","2,925",3.77
"Nokia 2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black  ","11,999","9,463",4.23
"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display  ","12,999","29,140",2.11
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus  ","4,449","9,463",2.86
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display  ","8,999","14,247",2.02
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera  ","10,999","7,029",2.08
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger  ","8,999","3,917",4.21
"Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)  ","19,999","5,027",4.68
"Redmi A2 (Aqua Blue, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]  ","12,499","10,037",4.03
"Redmi 12C (Matte Black, 6GB RAM, 128GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery  ","6,799","3,570",4.24
"realme narzo 60 5G (Cosmic Black,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger  ","9,299","5,027",3.7
"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)  ","19,999","17,902",3.41
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box  ","5,299","7,616",2.81
realme narzo 50i Prime (Mint Green 4GB RAM+64GB Storage) Octa-core Processor |5000 mAh Battery  ,"12,999","9,213",3.03
